time,energy,error
0.049999993,999.76117,9.441376E-5
0.10000001,999.514,5.8066845E-4
0.14999999,999.2468,0.0011205673
0.19999994,999.0033,0.001208663
0.2499999,998.7723,0.0013310909
0.29999986,998.45575,0.0016314983
0.34999982,998.15247,0.0017000437
0.39999977,997.89636,0.0018740892
0.44999972,997.7117,0.0020341873
0.49999967,997.29626,0.002329588
0.54999965,996.9226,0.0024898052
0.5999996,996.7777,0.0025863647
0.64999956,996.4251,0.002933383
0.6999995,995.94446,0.003058672
0.74999946,995.6516,0.0032613277
0.7999994,995.3568,0.0035418272
0.84999937,994.76294,0.0037549734
0.8999993,994.3552,0.0039839745
0.9499993,993.64734,0.004306674
0.9999992,993.0099,0.0045206547
1.0499992,992.2641,0.004860878
1.0999992,991.49585,0.005111456
1.1499991,990.56445,0.005477309
1.1999991,989.6716,0.005773306
1.249999,988.5672,0.006166935
1.299999,987.4148,0.0065419674
1.349999,986.09265,0.0069658756
1.3999989,984.69977,0.0074037313
1.4499989,983.18604,0.007890224
1.4999988,981.4214,0.008425474
1.5499988,979.38745,0.009000778
1.5999987,977.0381,0.0096514225
1.6499987,974.37756,0.010369539
1.6999986,971.18787,0.011202276
1.7499986,967.3524,0.012175083
1.7999985,962.5816,0.013349056
1.8499985,956.32275,0.014869809
1.8999984,947.38654,0.016948044
1.9499984,932.324,0.020343482
1.9999983,906.95325,0.024465382
2.0499995,899.32446,0.0139485
2.1000006,895.488,0.012513399
2.1500018,891.4771,0.013421953
2.200003,890.32623,0.0099436045
2.250004,887.7366,0.011575341
2.3000052,886.6706,0.009478986
2.3500063,885.0166,0.010077119
2.4000075,883.84644,0.009226084
2.4500086,882.60205,0.009267211
2.5000098,881.46216,0.008987546
2.550011,880.3343,0.008907676
2.600012,879.2259,0.0088557005
2.6500132,878.1687,0.008817017
2.7000144,877.0696,0.008866072
2.7500155,875.9442,0.0088762045
2.8000166,874.8288,0.008924186
2.8500178,873.70667,0.008899689
2.900019,872.6388,0.008834064
2.95002,871.6139,0.008687079
3.0000212,870.6518,0.008463979
3.0500224,869.7412,0.008168578
3.1000235,868.91754,0.007792592
3.1500247,868.18567,0.0073291063
3.2000258,867.5311,0.0067569613
3.250027,866.9959,0.0060834885
3.300028,866.5455,0.005319476
3.3500292,866.17676,0.004518032
3.4000304,865.85547,0.003725469
3.4500315,865.58466,0.0030050278
3.5000327,865.3445,0.0023807287
3.5500338,865.10364,0.0018871427
3.600035,864.8755,0.0015093088
3.650036,864.6535,0.0012513399
3.7000372,864.4337,0.001074791
3.7500384,864.2055,9.704232E-4
3.8000395,863.9703,9.059906E-4
3.8500407,863.7393,8.686185E-4
3.9000418,863.5121,8.468032E-4
3.950043,863.2807,8.4364414E-4
4.000044,863.0401,8.5514784E-4
4.050045,862.7971,8.789897E-4
4.100046,862.54865,9.199381E-4
4.1500473,862.2907,9.7358227E-4
4.2000484,862.02527,0.0010480285
4.2500496,861.7499,0.0011362433
4.3000507,861.46265,0.0012473464
4.350052,861.1589,0.0013743639
4.400053,860.83826,0.0015259981
4.450054,860.49335,0.0016883612
4.5000553,860.12415,0.0018661022
4.5500565,859.7164,0.002051711
4.6000576,859.278,0.0022398233
4.6500587,858.80383,0.002437055
4.70006,858.28,0.0026426315
4.750061,857.71075,0.0028628707
4.800062,857.0958,0.00310117
4.8500633,856.41345,0.003355682
4.9000645,855.6586,0.00362432
4.9500656,854.83325,0.0039034486
5.0000668,853.9184,0.0041894913
5.050068,852.91833,0.0044817924
5.100069,851.8276,0.004774213
5.15007,850.6313,0.0050699115
5.2000713,849.33154,0.005348563
5.2500725,847.9321,0.0056114197
5.3000736,846.4449,0.005839169
5.350075,844.8727,0.0060275197
5.400076,843.25104,0.006176114
5.450077,841.5635,0.0062936544
5.500078,839.8555,0.0064070225
5.5500793,838.1138,0.006551206
5.6000805,836.25476,0.006748438
5.6500816,834.2403,0.0070368648
5.700083,831.94946,0.0074632764
5.750084,829.17596,0.007986248
